 ,Label,Area,Mean,StdDev,Min,Max,Perim.
198,slice0012_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8370-4576,6.155,4.878,0.763,3.667,6.286,8.373
199,slice0012_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4642-4619,31015443.858,1.068,0.116,0.000,28.111,23728.782
200,slice0013_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:2323-3209,2.052,3.002,0.495,2.273,3.625,4.905
201,slice0013_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4031-3370,14.361,2.932,0.697,1.833,4.833,14.339
202,slice0013_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6248-2242,41.031,3.588,0.685,2.444,5.222,23.993
203,slice0013_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6397-3860,10.258,3.225,0.314,2.727,3.900,11.090
204,slice0013_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:7810-2476,68.522,4.873,1.036,2.909,8.286,30.554
205,slice0013_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8139-2537,3.283,3.336,0.412,2.900,4.000,6.341
206,slice0013_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8341-5683,7.796,2.831,0.271,2.333,3.364,9.434
207,slice0013_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8370-4576,5.744,4.774,0.925,3.333,6.571,7.998
208,slice0013_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4642-4619,31015443.037,1.065,0.114,0.000,12.727,23728.782
